module,type,obj,line,column,endLine,endColumn,path,symbol,message,message-id
147,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/147.py,missing-module-docstring,Missing module docstring,C0114
147,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/147.py,invalid-name,"Module name ""147"" doesn't conform to snake_case naming style",C0103
147,convention,get_max_triples,1,0,1.0,19.0,sample_data/GPT_4_Simple_Prompt/Dataset/147.py,missing-function-docstring,Missing function or method docstring,C0116
115,convention,,7,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/115.py,line-too-long,Line too long (128/100),C0301
115,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/115.py,missing-module-docstring,Missing module docstring,C0114
115,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/115.py,invalid-name,"Module name ""115"" doesn't conform to snake_case naming style",C0103
115,convention,max_fill,1,0,1.0,12.0,sample_data/GPT_4_Simple_Prompt/Dataset/115.py,missing-function-docstring,Missing function or method docstring,C0116
115,convention,max_fill,2,4,2.0,15.0,sample_data/GPT_4_Simple_Prompt/Dataset/115.py,import-outside-toplevel,Import outside toplevel (math),C0415
128,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/128.py,missing-module-docstring,Missing module docstring,C0114
128,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/128.py,invalid-name,"Module name ""128"" doesn't conform to snake_case naming style",C0103
128,convention,prod_signs,1,0,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/128.py,missing-function-docstring,Missing function or method docstring,C0116
128,refactor,prod_signs,11,4,14.0,29.0,sample_data/GPT_4_Simple_Prompt/Dataset/128.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
43,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/43.py,missing-module-docstring,Missing module docstring,C0114
43,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/43.py,invalid-name,"Module name ""43"" doesn't conform to snake_case naming style",C0103
43,convention,pairs_sum_to_zero,1,0,1.0,21.0,sample_data/GPT_4_Simple_Prompt/Dataset/43.py,missing-function-docstring,Missing function or method docstring,C0116
82,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/82.py,missing-module-docstring,Missing module docstring,C0114
82,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/82.py,invalid-name,"Module name ""82"" doesn't conform to snake_case naming style",C0103
82,convention,prime_length,1,0,1.0,16.0,sample_data/GPT_4_Simple_Prompt/Dataset/82.py,missing-function-docstring,Missing function or method docstring,C0116
84,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/84.py,missing-module-docstring,Missing module docstring,C0114
84,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/84.py,invalid-name,"Module name ""84"" doesn't conform to snake_case naming style",C0103
84,convention,solve,1,10,1.0,11.0,sample_data/GPT_4_Simple_Prompt/Dataset/84.py,invalid-name,"Argument name ""N"" doesn't conform to snake_case naming style",C0103
60,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/60.py,missing-module-docstring,Missing module docstring,C0114
60,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/60.py,invalid-name,"Module name ""60"" doesn't conform to snake_case naming style",C0103
60,convention,sum_to_n,1,0,1.0,12.0,sample_data/GPT_4_Simple_Prompt/Dataset/60.py,missing-function-docstring,Missing function or method docstring,C0116
22,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/22.py,missing-module-docstring,Missing module docstring,C0114
22,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/22.py,invalid-name,"Module name ""22"" doesn't conform to snake_case naming style",C0103
22,error,filter_integers,1,28,1.0,32.0,sample_data/GPT_4_Simple_Prompt/Dataset/22.py,undefined-variable,Undefined variable 'List',E0602
22,error,filter_integers,1,33,1.0,36.0,sample_data/GPT_4_Simple_Prompt/Dataset/22.py,undefined-variable,Undefined variable 'Any',E0602
22,error,filter_integers,1,42,1.0,46.0,sample_data/GPT_4_Simple_Prompt/Dataset/22.py,undefined-variable,Undefined variable 'List',E0602
22,convention,filter_integers,10,11,10.0,29.0,sample_data/GPT_4_Simple_Prompt/Dataset/22.py,unidiomatic-typecheck,Use isinstance() rather than type() for a typecheck.,C0123
23,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/23.py,missing-module-docstring,Missing module docstring,C0114
23,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/23.py,invalid-name,"Module name ""23"" doesn't conform to snake_case naming style",C0103
40,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/40.py,missing-module-docstring,Missing module docstring,C0114
40,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/40.py,invalid-name,"Module name ""40"" doesn't conform to snake_case naming style",C0103
40,convention,triples_sum_to_zero,2,0,2.0,23.0,sample_data/GPT_4_Simple_Prompt/Dataset/40.py,missing-function-docstring,Missing function or method docstring,C0116
12,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/12.py,missing-module-docstring,Missing module docstring,C0114
12,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/12.py,invalid-name,"Module name ""12"" doesn't conform to snake_case naming style",C0103
12,convention,longest,1,0,1.0,11.0,sample_data/GPT_4_Simple_Prompt/Dataset/12.py,missing-function-docstring,Missing function or method docstring,C0116
12,error,longest,1,21,1.0,25.0,sample_data/GPT_4_Simple_Prompt/Dataset/12.py,undefined-variable,Undefined variable 'List',E0602
12,error,longest,1,35,1.0,43.0,sample_data/GPT_4_Simple_Prompt/Dataset/12.py,undefined-variable,Undefined variable 'Optional',E0602
111,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/111.py,missing-module-docstring,Missing module docstring,C0114
111,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/111.py,invalid-name,"Module name ""111"" doesn't conform to snake_case naming style",C0103
111,convention,histogram,1,0,1.0,13.0,sample_data/GPT_4_Simple_Prompt/Dataset/111.py,missing-function-docstring,Missing function or method docstring,C0116
111,convention,histogram,2,4,2.0,35.0,sample_data/GPT_4_Simple_Prompt/Dataset/111.py,import-outside-toplevel,Import outside toplevel (collections.Counter),C0415
112,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/112.py,missing-module-docstring,Missing module docstring,C0114
112,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/112.py,invalid-name,"Module name ""112"" doesn't conform to snake_case naming style",C0103
112,convention,reverse_delete,1,0,1.0,18.0,sample_data/GPT_4_Simple_Prompt/Dataset/112.py,missing-function-docstring,Missing function or method docstring,C0116
